,Fide id,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,firstName,lastName
7214,14511533,CRO,F,1988.0,none,1856,1931.0,1925.0,wi,Glavas, Ana
7215,14005913,TKM,F,2003.0,none,1856,1931.0,1815.0,wa,Gubatayeva, Ayshe
7216,24119628,RUS,F,1991.0,none,1856,1931.0,1925.0,wi,Imeeva, Baira
7217,14911396,SVK,F,1988.0,none,1856,1931.0,1925.0,wi,Janosova, Kristina
7218,5801001,SGP,F,1994.0,WFM,1856,1931.0,1925.0,wi,Lo, Yin Ling Melissa
7219,12800660,LTU,F,1966.0,none,1856,1869.0,1828.0,wi,Malisauskiene, Marina
7220,14300877,RSA,F,1985.0,none,1856,1931.0,1925.0,wi,Moodliar, Suvania
7221,2268868,ESP,F,1985.0,none,1856,1931.0,1925.0,wi,Munoz Perez, Shaila
7222,2910926,BUL,F,1990.0,none,1856,1931.0,1843.0,wi,Naydenova, Yordanka
7223,12402311,VIE,F,1995.0,none,1856,1906.0,1927.0,wa,Nguyen, Truong Bao Tran
7224,4612779,GER,F,1959.0,none,1856,1931.0,1925.0,wa,Nobis, Martina
7225,4247663,GRE,F,2000.0,none,1856,1599.0,1708.0,wa,Pasoglou, Ekaterini
7226,4113314,RUS,F,1992.0,none,1856,1840.0,1718.0,wi,Protsenko, Elina
7227,24147826,RUS,F,1991.0,none,1856,1931.0,1925.0,wa,Ptushkina, Alena
7228,1215280,ROU,F,1986.0,none,1856,1887.0,1871.0,wi,Sava, Gabriela-Liliana
7229,4901096,MGL,F,1986.0,none,1856,1931.0,1925.0,wi,Selenge, Maamkhuu
7230,14004089,TKM,F,2006.0,WFM,1856,1429.0,1534.0,wa,Shohradowa, Lala
7231,14110466,UKR,F,1988.0,none,1856,1788.0,1761.0,wi,Shystarova, Anna
7232,12987050,GER,F,1998.0,none,1856,1931.0,1925.0,wi,Stallknecht, Britta
7233,721018,HUN,F,1996.0,none,1856,1884.0,1896.0,wa,Szalai, Renata
7234,24150711,RUS,F,1985.0,none,1856,1931.0,1925.0,wi,Zinovich, Dana
7235,32009712,ESP,F,1999.0,none,1856,1564.0,1559.0,wi,Zuniga Arraras, Marina
7236,14208440,UZB,F,2000.0,none,1855,1668.0,1778.0,wa,Abdukarimova, Hilola
7237,1207580,ROU,F,1994.0,none,1855,1791.0,1736.0,wa,Anton, Ana-Roxana
7238,5104599,MEX,F,1993.0,none,1855,1931.0,1925.0,wi,Aquino Flores, Angelica Am
7239,13302400,ARM,F,1992.0,none,1855,1931.0,1925.0,wi,Avoyan, Liana
7240,24111236,RUS,F,1962.0,none,1855,1931.0,1921.0,wi,Badzhieva, Giliana
7241,24604755,GER,F,1987.0,none,1855,1931.0,1835.0,wi,Breder, Jana
7242,699560,FRA,F,1992.0,none,1855,1877.0,1925.0,wa,Fevrier, Edwige
